session_date,location,stakes,hand_number,num_players,hero_position,hero_hole_cards,effective_stack_bb,preflop_actions,flop_cards,flop_actions,turn_card,turn_actions,river_card,river_actions,pot_size_bb,result_bb,went_to_showdown,notes
2026-07-01,ClubWPT Gold,0.01/0.02,8,8,BB,Kh 5h,50,UTG:fold>UTG1:fold>MP:raise3>HJ:call3>CO:fold>BTN:fold>SB:fold>BB:call2,9h 5c 8d,BB:check>MP:check>HJ:bet4>BB:call4>MP:fold,Kd,BB:check>HJ:bet9>BB:call9,9d,BB:check>HJ:bet26.5>BB:allin34>HJ:call7.5,123.5,53.5,1,Hero rivered two pair (kings and nines) vs villain's Ts 8c per your note.
2026-07-01,ClubWPT Gold,0.01/0.02,9,3,BB,9c Ks,75,BTN:raise3.5>SB:call3>BB:call2.5,,,,,,,10.5,-75,1,"Hero (BB) all-in on the river with trip kings (board pairs kings twice) vs villain's 6h 7s per your note; board: Kd 3c Kh 4d 5s. Hero lost, per source result of -1.50 dollars."
2026-07-01,ClubWPT Gold,0.01/0.02,10,5,BB,8s 4s,63.5,UTG:raise2.5>CO:fold>BTN:fold>SB:call2>BB:call1.5,6c 7d Ks,SB:check>BB:bet4>UTG:call4>SB:call4,Qc,SB:check>BB:check>UTG:check,3h,SB:check>BB:bet14.5>UTG:fold>SB:fold,19.5,13,0,
2026-07-01,ClubWPT Gold,0.01/0.02,11,5,UTG,Ah 7s,50,UTG:check>CO:fold>BTN:fold>SB:fold>BB:check,Qh 5c 7c,BB:bet1.5>UTG:call1.5,Qs,BB:bet3>UTG:call3,Kd,BB:bet8.5>UTG:call8.5,26.5,14.5,1,Hero position confirmed as UTG (corrected after the double-blind-tag check). Villain (BB) had 3s 4c per your note.
2026-06-30,ClubWPT Gold,0.01/0.02,1,8,CO,Kc 8c,122.5,UTG:fold>UTG1:call1>MP:call1>HJ:fold>CO:raise3>BTN:fold>SB:raise12>BB:call11>UTG1:call11>MP:call11>CO:call9,8h Qc 2s,SB:check>BB:allin36>SB:call36,,,,,132,-12,1,Hero (CO) folded the flop after villain's all-in; board completed to Jh 4h per your note but no further hero action.
2026-06-30,ClubWPT Gold,0.01/0.02,2,8,BTN,8s Ts,134.5,UTG:call1>UTG1:raise3>MP:call3>HJ:call3>CO:fold>BTN:raise12>SB:fold>BB:fold>UTG:call11>UTG1:call9>MP:call9>HJ:call9,9h Kd Ks,UTG:check>UTG1:check>MP:check>HJ:check>BTN:check,7s,UTG:check>UTG1:check>MP:bet5>HJ:raise41>BTN:fold>UTG:fold>UTG1:fold>MP:fold,,,0,-12,0,Hero (BTN) folded the turn to a raise after checking the flop through in position.
2026-06-30,ClubWPT Gold,0.01/0.02,3,8,SB,5c 5s,146.5,UTG:raise4>UTG1:fold>MP:raise12>HJ:call12>CO:call12>BTN:fold>SB:call11.5>BB:fold>UTG:call8,2c 3s 6h,SB:check>UTG:bet50>MP:fold>HJ:fold>CO:raise171>SB:allin433>UTG:allin433,,,,,749,-146.5,1,"Hero (SB) all-in on the flop and lost. Villain notes: UTG had Qh As, CO had 3d 2h per your note; board completed to 7h 2s per source but no further action."
2026-06-30,ClubWPT Gold,0.01/0.02,4,7,UTG,Kh 8c,126,UTG:raise2>MP:fold>HJ:fold>CO:fold>BTN:call2>SB:call1.5>BB:fold,,,,,,,23.5,28,1,"Board from source: 4d 7d Ks Jd 6h. Preflop checked to flop with a walk-style line (SB called, no BB shown contesting), hero (UTG) won the pot after a river raise per source result of +0.56."
2026-06-30,ClubWPT Gold,0.01/0.02,5,8,SB,7c 7d,61,UTG:fold>UTG1:raise3>MP:call3>HJ:call3>CO:call3>BTN:fold>SB:raise12>BB:fold>UTG1:allin294>MP:fold>HJ:fold>CO:fold>SB:allin61,,,,,,,132,71,1,"Hero (SB) all-in preflop with sevens, villain (UTG1) had pocket tens per your note; board: Jc Qc 7h Jd 6h."
2026-06-30,ClubWPT Gold,0.01/0.02,6,8,BB,As Ah,76,UTG:fold>UTG1:call1>MP:raise3>HJ:fold>CO:fold>BTN:call3>SB:fold>BB:raise5>UTG1:call4>MP:raise15>BTN:call12>BB:call10>UTG1:call10,,,,,,,300,-15,1,"Hero (BB) all-in on the flop and lost. Villain notes: UTG1 had pocket nines, MP had Qc Tc per your note; board completed to 5d 5c Th 4c Kd but no further hero action, hero was already all-in on the flop."
2026-06-30,ClubWPT Gold,0.01/0.02,7,8,MP,5c 5d,37.5,UTG:raise4>UTG1:fold>MP:raise7>HJ:fold>CO:fold>BTN:fold>SB:call6.5>BB:fold>UTG:call3,Kc 4d 9d,SB:check>UTG:check>MP:bet11>SB:fold>UTG:call11,7s,UTG:check>MP:allin19.5>UTG:call19.5,,,83,45.5,1,Hero (MP) all-in on the turn vs UTG's Jc Qd per your note; board completed to 8h but no further action.
2026-06-30,ClubWPT Gold,0.01/0.02,8,8,CO,Jc 7c,35.5,UTG:fold>UTG1:fold>MP:fold>HJ:fold>CO:raise3>BTN:call3>SB:call2.5>BB:call2,6s 6c 8s,SB:check>BB:bet3.5>CO:call3.5>BTN:call3.5>SB:call3.5,Qc,SB:check>BB:check>CO:bet13>BTN:call13>SB:fold>BB:raise52>CO:allin29,,,97,-35.5,1,Hero (CO) all-in on the turn and lost to villain's (BB) rivered queens; board completed to Qd but no further hero action.
2026-06-30,ClubWPT Gold,0.01/0.02,9,8,BB,8h 8d,36.5,UTG:call1>UTG1:fold>MP:fold>HJ:fold>CO:fold>BTN:fold>SB:raise5>BB:call4>UTG:call4,4c 7s 8s,SB:check>BB:bet7.5>UTG:fold>SB:fold,,,,,15,10,0,
2026-06-30,ClubWPT Gold,0.01/0.02,10,8,BTN,Kc 5c,46.5,UTG:fold>UTG1:fold>MP:fold>HJ:fold>CO:raise5>BTN:call5>SB:call4.5>BB:fold,6h Jd 2c,SB:check>CO:bet5>BTN:call5>SB:call5,Jc,SB:check>CO:check>BTN:check,Td,SB:allin15.5>CO:raise54>BTN:fold,31,-5,0,Hero (BTN) folded the river to a raise after villain's all-in.
2026-06-30,ClubWPT Gold,0.01/0.02,11,8,HJ,Ad 7d,41.5,UTG:fold>UTG1:raise5>MP:fold>HJ:call5>CO:fold>BTN:fold>SB:call4.5>BB:fold,9d 5d 6c,SB:check>UTG1:check>HJ:bet8>SB:call8>UTG1:call8,9h,SB:check>UTG1:check>HJ:check,2h,SB:check>UTG1:bet20>HJ:allin28.5>SB:fold>UTG1:call8.5,40,-41.5,1,Hero (HJ) all-in on the river and lost. Villain (UTG1) had Jh Qd per your note.
2026-06-30,ClubWPT Gold,0.01/0.02,12,8,MP,6c 8h,50,UTG:fold>UTG1:fold>MP:check>HJ:fold>CO:fold>BTN:raise3.5>SB:fold>BB:fold>MP:call2.5,6d 4d Ad,MP:check>BTN:bet2.5>MP:call2.5,5c,MP:check>BTN:bet8>MP:fold,,,13.5,-6,0,Hero position corrected to MP per your confirmation after the double-blind-tag issue.
2026-06-18,ClubWPT Gold,0.01/0.02,1,8,CO,8h Qd,92.5,UTG:fold>UTG1:fold>MP:call1>HJ:fold>CO:call1>BTN:call1>SB:call0.5>BB:check,4s 6d 8s,SB:check>BB:check>MP:check>CO:bet5>BTN:call5>SB:fold>BB:call5>MP:fold,Kd,BB:check>CO:check>BTN:check,5h,BB:bet26>CO:fold>BTN:raise85>BB:raise463.5>BTN:call185,8,-6,0,Hero folded river; pot reflects only the portion actually contested (most of the all-in was returned uncalled).
2026-06-18,ClubWPT Gold,0.01/0.02,2,8,SB,Js 9s,98.5,UTG:call1>UTG1:fold>MP:fold>HJ:fold>CO:fold>BTN:fold>SB:raise5>BB:fold>UTG:call4,8c 3s Ah,SB:check>UTG:check,2c,SB:check>UTG:check,2h,SB:bet1>UTG:call1,7,-6,1,
2026-06-18,ClubWPT Gold,0.01/0.02,3,8,BB,Js Th,111,UTG:call1>UTG1:fold>MP:fold>HJ:fold>CO:fold>BTN:fold>SB:call0.5>BB:raise5>UTG:call4>SB:fold,Ks 7d 5c,BB:check>UTG:check,6c,BB:bet1>UTG:call1,Jc,BB:bet6.5>UTG:raise174.5>BB:fold,13.5,-12.5,0,
2026-06-18,ClubWPT Gold,0.01/0.02,4,8,HJ,9h Th,105.5,UTG:fold>UTG1:fold>MP:fold>HJ:raise4>CO:fold>BTN:call4>SB:fold>BB:fold,7s 5h 3c,HJ:check>BTN:check,Kd,HJ:bet7>BTN:fold,,,5.5,5.5,0,
2026-06-18,ClubWPT Gold,0.01/0.02,5,7,CO,As Qs,87.5,UTG:fold>MP:fold>HJ:fold>CO:raise6>BTN:call6>SB:call5.5>BB:call5,Jd 3h Td,SB:check>BB:check>CO:check>BTN:check,2h,SB:bet1>BB:call1>CO:call1>BTN:fold,Ac,SB:bet1>BB:call1>CO:raise31>SB:fold>BB:fold,22,22,1,
2026-06-18,ClubWPT Gold,0.01/0.02,6,8,UTG+1,8d 8s,96,UTG:fold>UTG+1:raise7>MP:call7>HJ:call7>CO:call7>BTN:fold>SB:fold>BB:fold,5h Qd Kd,UTG+1:check>MP:check>HJ:check>CO:check,4c,UTG+1:check>MP:check>HJ:check>CO:bet21>UTG+1:fold>MP:fold>HJ:call21,6h,HJ:check>CO:check,43.5,-7,0,"HJ had Th Js, CO had 5c Ac per your note."
2026-06-18,ClubWPT Gold,0.01/0.02,7,7,SB,Kh Ks,142,UTG:fold>MP:call1>HJ:fold>CO:fold>BTN:raise2>SB:call1.5>BB:call1>MP:call1,2c Qd 9c,SB:check>BB:check>MP:check>BTN:bet1>SB:raise3>BB:fold>MP:call3>BTN:call2,3c,SB:check>MP:bet8.5>BTN:call8.5>SB:raise17>MP:call8.5,Ad,SB:allin120>MP:call120,157.5,-142,1,Villain (MP) had 8c 6c per your note.
2026-06-18,ClubWPT Gold,0.01/0.02,8,7,BB,2d 3d,138.5,UTG:raise3>MP:fold>HJ:fold>CO:fold>BTN:fold>SB:fold>BB:call2,8c 5d 4s,BB:check>UTG:check,7h,BB:bet5>UTG:fold,,,3.5,3.5,0,
2026-06-18,ClubWPT Gold,0.01/0.02,9,8,UTG,As Kh,167.5,UTG:raise3>UTG1:fold>MP:call3>HJ:fold>CO:fold>BTN:call3>SB:fold>BB:call2,6s 7h Th,BB:bet3>UTG:call3>MP:fold>BTN:raise10>BB:call7>UTG:call7,Ad,BB:bet10.5>UTG:call10.5>BTN:call10.5,3s,BB:allin15.5>UTG:raise31>BTN:allin25.5,81.5,-29,1,"Villain notes: Button had Qs Ts, BB had 6c 7c."
2026-06-18,ClubWPT Gold,0.01/0.02,10,8,MP,Th Jh,139,UTG:fold>UTG1:call1>MP:raise3>HJ:fold>CO:call3>BTN:fold>SB:fold>BB:call2>UTG1:call2,8h 4s 2h,BB:check>UTG1:check>MP:bet4>CO:call4>BB:fold>UTG1:call4,Qh,UTG1:check>MP:bet5>CO:fold>UTG1:call5,Js,UTG1:bet8.5>MP:raise20>UTG1:fold,31,31,0,
2026-06-18,ClubWPT Gold,0.01/0.02,11,7,UTG,Qs Ks,148.5,UTG:fold>MP:call1>HJ:raise3>CO:fold>BTN:fold>SB:fold>BB:call2>MP:call2,Ad 7h As,BB:check>MP:check>HJ:bet6>BB:raise16>MP:fold>HJ:fold,,,,,12.5,0,0,"Hero folded preflop for zero cost; near-zero information hand, included for session completeness only."
2026-06-18,ClubWPT Gold,0.01/0.02,12,8,MP,Ac 5d,202,UTG:fold>UTG1:fold>MP:raise3>HJ:call3>CO:fold>BTN:call3>SB:call2.5>BB:fold,6c Ad 4c,SB:check>MP:bet3>HJ:fold>BTN:call3>SB:fold,6h,MP:bet4>BTN:call4,9s,MP:bet20.5>BTN:raise75>MP:call54.5,92,-85,1,Villain (BTN) had 9c 9h per your note.
2026-06-18,ClubWPT Gold,0.01/0.02,13,8,HJ,Ad Js,138.5,UTG:fold>UTG1:call1>MP:fold>HJ:raise3>CO:fold>BTN:raise9>SB:fold>BB:fold>UTG1:fold>HJ:call6,9s Qh Jc,HJ:check>BTN:bet11>HJ:call11,4c,HJ:check>BTN:bet22>HJ:raise46>BTN:call24,2s,HJ:allin72.5>BTN:fold,69.5,69.5,1,
2026-06-15,ClubWPT Gold,0.01/0.02,1,7,BB,7d 9c,144,UTG:fold>MP:fold>HJ:fold>CO:fold>BTN:fold>SB:call0.5>BB:check,Td 9s 5s,SB:check>BB:bet3>SB:call3,4c,SB:check>BB:bet4>SB:call4,7s,SB:check>BB:bet12>SB:fold,8,8,0,
2026-06-15,ClubWPT Gold,0.01/0.02,2,7,BTN,Kh Td,169,UTG:fold>MP:fold>HJ:fold>CO:fold>BTN:raise3>SB:fold>BB:call2,Th Jh 9c,BB:check>BTN:check,Jc,BB:check>BTN:bet4>BB:raise9>BTN:call5,9h,BB:check>BTN:check,12.5,-12,1,
2026-06-15,ClubWPT Gold,0.01/0.02,3,7,SB,Ac Js,149,UTG:raise4>MP:fold>HJ:call3>CO:call4>BTN:fold>SB:call3.5>BB:fold,9s 2h Qc,SB:check>UTG:check>HJ:check>CO:check,2c,SB:bet8.5>UTG:fold>HJ:fold>CO:call8.5,Ks,SB:bet26>CO:fold,21.5,21.5,0,
2026-06-15,ClubWPT Gold,0.01/0.02,4,8,BB,3d Ks,144.5,UTG:fold>UTG1:fold>MP:fold>HJ:fold>CO:fold>BTN:fold>SB:call0.5>BB:check,4s 8s 2d,SB:check>BB:check,Ts,SB:bet1>BB:raise4>SB:call3,9h,SB:check>BB:bet11>SB:fold,5,5,0,
2026-06-15,ClubWPT Gold,0.01/0.02,5,7,MP,9d 2d,148.5,UTG:fold>MP:call1>HJ:raise3>CO:call2>BTN:fold>SB:fold>BB:fold>MP:call2,6s 4s 6d,MP:check>HJ:check>CO:bet1>MP:call1>HJ:fold,Jc,MP:check>CO:bet9.5>MP:fold,,,8.5,-4,0,
2026-06-15,ClubWPT Gold,0.01/0.02,6,6,CO,Td Jd,140,UTG:fold>HJ:call1>CO:raise4>BTN:fold>SB:call3.5>BB:fold>HJ:call3,Kd 3h 5s,SB:check>HJ:check>CO:check,Qd,SB:check>HJ:check>CO:bet14>SB:fold>HJ:fold,,,9,9,0,
2026-06-15,ClubWPT Gold,0.01/0.02,7,8,UTG,Jh As,28.5,UTG:raise3>UTG1:fold>MP:fold>HJ:call3>CO:call3>BTN:fold>SB:fold>BB:call2,2c 7h Kc,BB:check>UTG:bet4>HJ:call4>CO:call4>BB:fold,4d,UTG:allin21.5>HJ:allin12.5>CO:call21.5,4h,,51.5,-28.5,1,"HJ had Qd Ks, CO had 4c 6c per your note."
2026-06-15,ClubWPT Gold,0.01/0.02,8,8,UTG+1,Ac Td,57,UTG:fold>UTG+1:raise3>MP:fold>HJ:call3>CO:call3>BTN:fold>SB:fold>BB:fold,Th 5s Qh,UTG+1:bet4>HJ:raise8>CO:call8>UTG+1:call4,2c,UTG+1:check>HJ:bet17.5>CO:fold>UTG+1:call17.5,6d,UTG+1:check>HJ:allin79>UTG+1:fold,41,-28.5,1,
2026-06-15,ClubWPT Gold,0.01/0.02,9,8,CO,2c 5c,51,UTG:fold>UTG1:fold>MP:call1>HJ:call1>CO:raise3>BTN:fold>SB:fold>BB:call2>MP:call2>HJ:call2,Ac 4h Qd,BB:check>MP:check>HJ:check>CO:bet9.5>BB:fold>MP:fold>HJ:fold,,,,,9.5,9.5,0,
2026-06-15,ClubWPT Gold,0.01/0.02,10,7,CO,5c 9c,50,UTG:fold>MP:fold>HJ:fold>CO:check>BTN:call1>SB:fold>BB:check,7h Tc 5h,BB:check>CO:check>BTN:check,Th,BB:check>CO:bet4>BTN:fold>BB:fold,,,2.5,2.5,0,
